_id,city_id,city_name,country_name,good_id,item_name,category_id,category_name,price_min,Pirce_avg,price_max,usd-min,usd-avg,usd-max,measure,currency_code
1,11,Tirana,Albania,43,"Fitness Club, Monthly Fee for 1 Adult",8,Sports And Leisure,3055.62,3626.73,5093.39,26.59,31.56,44.33,money,ALL
1,11,Tirana,Albania,44,"Tennis Court Rent, 1 Hour on Weekend",8,Sports And Leisure,1018.88,1454.22,2037.77,8.87,12.66,17.73,money,ALL
1,11,Tirana,Albania,45,"Gasoline, 1 liter",9,Transportation,156.51,176.21,195.91,1.36,1.53,1.71,money,ALL
1,11,Tirana,Albania,46,"Monthly Pass, Regular Price",9,Transportation,1256.24,1629.39,2002.54,10.93,14.18,17.43,money,ALL
1,11,Tirana,Albania,47,"One-way Ticket, Local Transport",9,Transportation,36.38,40.42,44.47,0.32,0.35,0.39,money,ALL
1,11,Tirana,Albania,48,"Taxi, price for 1 hour Waiting, Normal Tariff",9,Transportation,1018.88,1527.81,3055.62,8.87,13.3,26.59,money,ALL
1,11,Tirana,Albania,49,"Taxi, price for 1 km, Normal Tariff",9,Transportation,204.19,254.98,356.56,1.78,2.22,3.1,money,ALL
1,11,Tirana,Albania,50,"Taxi Start, Normal Tariff",9,Transportation,229.48,254.98,280.48,2,2.22,2.44,money,ALL
1,11,Tirana,Albania,52,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),9,Transportation,1833616.94,2174873.82,2546691,15958.06,18928.03,22163.98,money,ALL
1,11,Tirana,Albania,53,"Prepaid Mobile Tariff Local, price per 1 min, No Discounts or Plans",10,Utilities Per Month,12.44,27.99,43.54,0.11,0.24,0.38,money,ALL
1,11,Tirana,Albania,54,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage",10,Utilities Per Month,6112.27,8679.69,14261.27,53.2,75.54,124.12,money,ALL
1,11,Tirana,Albania,55,"Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL",10,Utilities Per Month,1527.81,2371.52,3768.73,13.3,20.64,32.8,money,ALL
1,11,Tirana,Albania,58,"Water, 0.33 liter Bottle",4,Markets,50.79,70.48,101.58,0.44,0.61,0.88,money,ALL
1,11,Tirana,Albania,64,"Summer Dress in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,2037.77,3967.74,7131.16,17.73,34.53,62.06,money,ALL
1,11,Tirana,Albania,65,"Mortgage Interest Rate in Percentages for 20 Years Fixed-Rate, Yearly, Fixed-Rate",7,Salaries And Financing,4.36,4.84,5.32,,,,percent,
1,11,Tirana,Albania,68,"Imported Beer, 0.33 liter Bottle",4,Markets,101.58,158.59,305.77,0.88,1.38,2.66,money,ALL
2,27,Andorra la Vella,Andorra,1,Price per square meter to Buy Apartment Outside of City Center,1,Buy Apartment,1754.28,2648.62,3611.76,1833.12,2767.66,3774.08,money,EUR
2,27,Andorra la Vella,Andorra,2,Price per square meter to Buy Apartment in City Center,1,Buy Apartment,2321.84,3181.78,4127.72,2426.19,3324.78,4313.23,money,EUR
2,27,Andorra la Vella,Andorra,3,"International Primary School, Yearly for 1 Child",2,Childcare,1238.32,6810.74,12383.17,1293.97,7116.84,12939.71,money,EUR
2,27,Andorra la Vella,Andorra,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,371.49,392.14,412.79,388.19,409.76,431.34,money,EUR
2,27,Andorra la Vella,Andorra,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,61.91,70.51,82.55,64.69,73.68,86.26,money,EUR
2,27,Andorra la Vella,Andorra,6,Pair of Leather Business Shoes,3,Clothing And Shoes,51.59,95.46,139.33,53.91,99.75,145.59,money,EUR
2,27,Andorra la Vella,Andorra,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,61.91,81.27,123.83,64.69,84.92,129.4,money,EUR
2,27,Andorra la Vella,Andorra,9,"Apples, 1 kg",4,Markets,1.03,1.55,2.07,1.08,1.62,2.16,money,EUR
2,27,Andorra la Vella,Andorra,10,"Banana, 1 kg",4,Markets,1.34,1.45,1.56,1.4,1.52,1.63,money,EUR
